Home_Losses_10_Gen_Form,Away_EMA_7_Gen_Form,HomeTeam_Spec_SMA_10_Form,AwayTeam_Spec_SMA_10_Form,AwayTeam_Spec_Wins_10_Form,Home_SMA_7_Gen_Goals_Pro,HomeTeam_Spec_EMA_5_Goals_Suffered,HomeTeam_Spec_EMA_10_Goals_Suffered,AwayTeam_Spec_SMA_3_Corners_Against,AwayTeam_Spec_EMA_7_Fouls_Against,AwayTeam_Spec_SMA_7_Yellows_Against,Home_SMA_5_Gen_ShotsTarget_Pro,Away_EMA_7_Gen_ShotsTarget_Against,Home_EMA_7_Gen_Shots_Pro,Home_SMA_5_Gen_Shots_Against,Away_SMA_7_Gen_Shots_Against,Home_EMA_10_Gen_GD,Away_EMA_5_Gen_GD,AwayTeam_Spec_EMA_10_GD,Home_SMA_7_Gen_Clean_Sheet,HomeTeam_Spec_EMA_10_Clean_Sheet,AwayTeam_Spec_EMA_3_Clean_Sheet,Away_EMA_7_Gen_FTS,Avg_Odds_Home,Avg_Odds_Away,FTR
6.0,0.2739661171645356,-0.1,0.0,4.0,1.0,1.7111245152951315,1.4733192874384045,3.6666666666666665,11.514203250643996,1.0,5.0,4.743937564473155,8.797956611465212,10.4,10.142857142857142,-0.6174413056544689,0.1297469140536344,-0.4362770628696816,0.0,0.2436227744632423,0.0977517106549364,0.0298495158966072,2.59,2.35,H
1.0,-0.0444393567688478,0.8,-0.7,1.0,2.2857142857142856,0.8146648467438421,0.7744999602054712,8.666666666666666,11.965328713814271,1.1428571428571428,8.4,4.243117008130076,13.884266664077789,8.2,10.714285714285714,1.2511137792626053,0.322913456762216,-1.1482192849593214,0.2857142857142857,0.2255000397945287,0.0004885197850512,0.0858990595419779,1.234,9.5,H
6.0,0.5370944895009697,0.0,-0.3,2.0,1.0,0.8838656988332314,1.0229841365598653,9.666666666666666,13.10501886254746,1.4285714285714286,2.8,6.613617747198872,7.7992948571268625,16.8,13.0,-0.9576629850169428,0.9750987188042812,-0.2129356475990382,0.2857142857142857,0.5549839333190517,0.0078201368523949,0.048406956309944,2.47,2.47,D
3.0,0.2732473988389739,0.3,-0.5,1.0,1.0,0.8968548039638089,1.0019075415942924,6.0,9.457070510313637,1.4285714285714286,4.6,5.905207435362435,10.250138744143412,10.6,9.571428571428571,-0.3337996039796898,1.298370894351519,-0.4853352062584896,0.1428571428571428,0.2730697774934721,0.0009770395701025,0.2143803119873537,1.746,3.996,D
3.0,0.1386777891459309,0.7,0.0,3.0,1.4285714285714286,0.1075398535114175,0.2337695082744232,4.333333333333333,12.798241988343928,1.4285714285714286,4.6,4.032984565442525,7.277626348025661,11.8,8.142857142857142,0.2211519589989636,0.0776911622777021,0.2007851129341069,0.5714285714285714,0.7662304917255768,0.0948191593352883,0.2640586851970239,2.248,2.8240000000000003,A
1.0,0.3543931363444497,0.1,0.1,4.0,2.142857142857143,0.9704349145246474,1.1768502096035711,3.0,13.372954554676356,1.5714285714285714,6.8,3.52383019108962,15.17225611386204,13.2,8.714285714285714,0.5501528134096089,0.7185464297610147,0.5683422206819458,0.1428571428571428,0.2399208651171648,0.5476306790425012,0.1979260460519372,2.4,2.49,A
4.0,-0.12183622395401,-0.2,-0.3,2.0,1.8571428571428568,1.3473749136202948,1.5428521203334336,7.666666666666667,13.763190983501865,2.0,4.6,5.234767321463882,9.71345449889952,9.6,10.142857142857142,0.2150057253252231,0.8395654422996551,-0.4858484928044985,0.1428571428571428,0.278876997785203,0.0156288156288156,0.2854643843590089,2.04,3.06,D
4.0,-0.3542442827942913,-0.2,-0.5,1.0,2.0,2.6875767423000703,2.4654845500728904,5.666666666666667,11.368755076319845,2.2857142857142856,5.4,4.617402817100663,10.805175518459242,11.4,8.285714285714286,-0.152953675303361,-0.7074704126717016,-1.0822090111298048,0.0,0.091546361229434,0.0039072039072039,0.565445182397686,2.02,3.02,A
2.0,-0.2200605261015844,0.4,0.3,6.0,2.0,1.6620751121182529,1.3863225490523248,6.333333333333333,6.7001473927954525,0.5714285714285714,5.8,4.931131329547185,12.593231098262583,10.8,8.857142857142858,0.3508543500950165,-0.2936923735494747,0.1720681546095907,0.2857142857142857,0.1551220754476114,0.0434782608695652,0.3834237531231222,1.884,3.34,H
5.0,0.20484403534485,0.4,-0.5,1.0,1.5714285714285714,2.174181463058041,1.6194071426967944,6.333333333333333,10.371777462140155,1.7142857142857142,5.8,5.4282675000271166,13.247375783759024,16.0,9.142857142857142,-0.1867790122871577,0.8655420291100273,-0.3883661203100459,0.1428571428571428,0.3969653683037295,0.0004884004884004,0.1607134354894866,1.61,4.54,A
